,id,full_text,word_len,favorite_count,retweet_count,date,created_at,detected_language,language_confidence
60,1.3153292810698097e+18,longwool,8,19,3,2020-10-11,2020-10-11 16:31:52,so,1.0
61,1.3151329761880023e+18,xenoarchaeologist,17,123,17,2020-10-11,2020-10-11 03:31:50,en,1.0
62,1.3151329486063165e+18,subgenomic,10,17,1,2020-10-11,2020-10-11 03:31:43,ru,0.789281
63,1.3147101960113603e+18,rhythmize,9,70,16,2020-10-09,2020-10-09 23:31:51,en,1.0
64,1.3146498257706025e+18,butchermen,10,14,0,2020-10-09,2020-10-09 19:31:58,en,1.0
65,1.314649798742618e+18,glitchlessly,12,94,11,2020-10-09,2020-10-09 19:31:51,en,1.0
66,1.3146422679368745e+18,hyperconsumptive,16,57,10,2020-10-09,2020-10-09 19:01:56,en,1.0
67,1.314506462035669e+18,gladhandedness,14,28,2,2020-10-09,2020-10-09 10:02:17,ja,1.0
68,1.314506436530049e+18,ethicalism,10,30,5,2020-10-09,2020-10-09 10:02:11,en,1.0
69,1.3144989221241078e+18,zooarchaeological,17,34,6,2020-10-09,2020-10-09 09:32:19,ca,0.67961496
70,1.3142798601441567e+18,videokes,8,28,5,2020-10-08,2020-10-08 19:01:51,en,0.43099126
71,1.3142572354602148e+18,intransgressible,16,30,1,2020-10-08,2020-10-08 17:31:57,en,1.0
72,1.3142496677319148e+18,druggily,8,59,10,2020-10-08,2020-10-08 17:01:53,en,1.0
73,1.3141968421256847e+18,whitesplainers,14,425,58,2020-10-08,2020-10-08 13:31:58,pl,0.33067235
74,1.314166639638831e+18,shiving,7,23,4,2020-10-08,2020-10-08 11:31:57,fr,0.79475075
75,1.3141366105528443e+18,greensick,9,15,1,2020-10-08,2020-10-08 09:32:38,fr,0.7377498
76,1.3139023581375775e+18,piquiá,6,42,5,2020-10-07,2020-10-07 18:01:47,en,1.0
77,1.3138495608763556e+18,ofthroughout,12,18,3,2020-10-07,2020-10-07 14:32:00,en,1.0
78,1.3137966874969661e+18,alloparents,11,15,0,2020-10-07,2020-10-07 11:01:54,en,1.0
79,1.313781563302314e+18,rebunkering,11,45,14,2020-10-07,2020-10-07 10:01:48,en,1.0
80,1.313668388082811e+18,undermixed,10,42,4,2020-10-07,2020-10-07 02:32:05,en,0.7751059
81,1.313615454867542e+18,bribesfor,9,14,2,2020-10-06,2020-10-06 23:01:44,en,1.0
82,1.3135777444758446e+18,restreams,9,14,1,2020-10-06,2020-10-06 20:31:54,en,1.0
83,1.313539971547005e+18,ndiguel,7,11,2,2020-10-06,2020-10-06 18:01:48,en,0.8431549
84,1.3134121357041992e+18,scoundreling,12,18,5,2020-10-06,2020-10-06 09:33:49,en,0.41821826
85,1.31341212672009e+18,glossifying,11,11,2,2020-10-06,2020-10-06 09:33:47,it,0.4126685
86,1.313412118536913e+18,godsize,7,45,5,2020-10-06,2020-10-06 09:33:45,en,0.28169245
87,1.313411823706792e+18,hyperprolific,13,46,4,2020-10-06,2020-10-06 09:32:35,ms,0.17908922
88,1.313411700088021e+18,amortie,7,10,0,2020-10-06,2020-10-06 09:32:05,id,0.84112567
89,1.3132379912513782e+18,chitterchatter,14,96,8,2020-10-05,2020-10-05 22:01:50,en,0.48312852
90,1.313154960587096e+18,amongroommates,14,59,6,2020-10-05,2020-10-05 16:31:54,en,0.9872377
