,id,full_text,favorite_count,retweet_count,created_at
97,1312815225939337218,commingl,60,5,2020-10-04 18:01:55
98,1312422639084937216,hogweeds,28,4,2020-10-03 16:01:55
99,1312415066147430401,megablazes,52,13,2020-10-03 15:31:49
100,1312324515456843776,recreationalized,36,4,2020-10-03 09:32:00
101,1312218850868559872,nonmonagamous,179,14,2020-10-03 02:32:08
102,1312173437469696001,nonmasked,416,89,2020-10-02 23:31:41
103,1312128216392376321,moebiuses,51,14,2020-10-02 20:31:59
104,1312105543360634881,deaccessing,26,7,2020-10-02 19:01:53
105,1312052651773825027,mijito,1144,215,2020-10-02 15:31:43
106,1312037714427076609,futbolín,1590,407,2020-10-02 14:32:22
107,1311999808375226368,boujaads,5,1,2020-10-02 12:01:44
108,1311984764904243200,immunostimulating,40,7,2020-10-02 11:01:58
109,1311984719429603328,taraadi,0,1,2020-10-02 11:01:47
110,1311962503849668608,biofactory,11,2,2020-10-02 09:33:30
111,1311962145756721153,underhanders,3,1,2020-10-02 09:32:05
112,1311909269277741059,orkoiyot,28,5,2020-10-02 06:01:58
113,1311886552075821058,yellowhammers,35,5,2020-10-02 04:31:42
114,1311803532035661827,chestburster,195,41,2020-10-01 23:01:48
115,1311660098775855104,malangguy,6,1,2020-10-01 13:31:51
116,1311660090160803840,tinola,13,3,2020-10-01 13:31:49
117,1311644997557587968,bespittles,23,4,2020-10-01 12:31:51
118,1311629853238661122,mumblegore,225,34,2020-10-01 11:31:40
119,1311599826174308353,beenlaying,20,5,2020-10-01 09:32:21
120,1311599703402967040,envelopers,13,2,2020-10-01 09:31:52
121,1311418524410183680,webcammers,60,8,2020-09-30 21:31:55
122,1311373182226649094,instapoll,44,5,2020-09-30 18:31:45
123,1311335560821321741,abbotbod,16,2,2020-09-30 16:02:15
124,1311237589278564352,atsisveikinimas,19,3,2020-09-30 09:32:57
125,1311237579757498368,sveiki,3,1,2020-09-30 09:32:55
126,1311199796397473793,nonjudiciary,17,1,2020-09-30 07:02:47
127,1311063927929942017,cazzutta,13,1,2020-09-29 22:02:53
128,1310988389500493831,cyberpandemic,254,76,2020-09-29 17:02:43
129,1310965776111882241,appressoria,4,1,2020-09-29 15:32:52
130,1310965767849029634,sclerotiorum,7,0,2020-09-29 15:32:50
131,1310935531799359507,biocomplexity,39,6,2020-09-29 13:32:41
132,1310928008858005504,garvieae,3,1,2020-09-29 13:02:47
133,1310875238377426944,decoloniality,43,6,2020-09-29 09:33:06
134,1310709009087950851,intraseries,11,1,2020-09-28 22:32:34
135,1310641122331553795,kkwarigochu,13,2,2020-09-28 18:02:48
136,1310641114735505409,jangjorim,10,2,2020-09-28 18:02:46
137,1310641100252753923,jeotgal,9,2,2020-09-28 18:02:43
138,1310626093783822337,all’origine,13,3,2020-09-28 17:03:05
139,1310626085818839042,produtto,7,1,2020-09-28 17:03:03
140,1310626078071885825,disperdere,5,0,2020-09-28 17:03:01
141,1310626033268404226,grosselage,3,1,2020-09-28 17:02:51
142,1310626024305168384,récoltante,5,0,2020-09-28 17:02:49
143,1310565637555712001,vatically,17,1,2020-09-28 13:02:51
144,1310565629074735104,scurfpea,19,2,2020-09-28 13:02:49
145,1310565621025984513,stipulatum,9,0,2020-09-28 13:02:47
146,1310512774808825856,psychoticism,27,5,2020-09-28 09:32:48
147,1310512766864822272,anxitiousness,50,15,2020-09-28 09:32:46
148,1310376922510229505,juuuuuuust,836,111,2020-09-28 00:32:58
149,1310361806653861888,nerdquarium,118,31,2020-09-27 23:32:54
150,1310354222316220417,cybercartels,46,13,2020-09-27 23:02:46
151,1310308947723776001,overwoke,389,61,2020-09-27 20:02:52
152,1310225900831735808,pornomime,89,20,2020-09-27 14:32:52
153,1310074941325410310,counterstriking,61,11,2020-09-27 04:33:00
154,1310044673994612736,probablyhas,72,10,2020-09-27 02:32:44
155,1309908800892264448,glycyrrhizic,66,8,2020-09-26 17:32:49
156,1309425869811785728,partisaned,17,3,2020-09-25 09:33:49
157,1309425725464866816,personstill,8,1,2020-09-25 09:33:15
158,1309425637929758720,spectatorless,23,11,2020-09-25 09:32:54
159,1309289729649770501,cardinaluntil,17,2,2020-09-25 00:32:51
