Nationality,Total Students,F-1 Validity Period,USA,USA Reapply,USA Reciprocity Fee,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
Trinidad & Tobago,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇹🇹
Nepal,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇳🇵
Ghana,1,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇬🇭
Saudi Arabia,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇸🇦
New Zealand,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇳🇿
Jamaica,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇯🇲
Slovakia,1,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇸🇰
Estonia,1,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇪🇪
Vietnam,35,12,510,160,0,0,50,91.53,88.86,177.64,124.11,50,1252.14,,🇻🇳
Austria,1,60,510,0,0,0,50,91.53,0,177.64,124.11,50,1003.28,European Union country.,🇦🇹
United States,76,0,0,0,0,0,45,111.02,88.86,177.64,124.11,50,596.63,,🇺🇸
Ukraine,38,36,510,160,0,0,0,96.41,88.86,177.64,124.11,50,1207.02,,🇺🇦
Germany,16,60,510,0,0,0,0,91.53,0,177.64,124.11,50,953.28,European Union country.,🇩🇪
Japan,12,60,510,0,0,0,0,21.38,88.86,177.64,124.11,50,971.99,,🇯🇵
Taiwan,10,60,510,0,0,0,0,91.53,88.86,177.64,124.11,0,992.14,,🇹🇼
Thailand,2,12,510,160,40,40,0,91.53,88.86,177.64,124.11,50,1282.14,,🇹🇭
Spain,1,60,510,0,0,0,0,91.53,0,177.64,124.11,50,953.28,European Union country.,🇪🇸
