Nationality,Total Students,GDP_PC,USA,USA Reapply,USA Reciprocity Fee,Validity Period,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
Lithuania,2,19455.45,510,160,0,24,0,56.94,91.53,0,177.64,124.11,50,1170.22,European Union country.,🇱🇹
Indonesia,2,4135.57,510,0,220,60,0,56.94,91.53,88.86,177.64,124.11,50,1319.08,,🇮🇩
Uruguay,2,16190.13,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇺🇾
Albania,1,5352.86,510,160,0,36,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇦🇱
Jordan,1,4330.33,510,0,106,60,0,56.94,91.53,88.86,177.64,124.11,50,1205.08,,🇯🇴
Trinidad & Tobago,1,17276.47,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇹
Nepal,1,1071.05,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇵
Ghana,1,2202.12,510,0,0,48,0,75.92,91.53,88.86,177.64,124.11,50,1118.06,,🇬🇭
Saudi Arabia,1,23139.8,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇦
Algeria,1,3948.34,510,160,0,24,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇩🇿
Zimbabwe,1,1463.99,510,160,0,24,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇿🇼
New Zealand,1,42084.35,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇿
Honduras,1,2574.91,510,0,190,60,0,56.94,91.53,88.86,177.64,124.11,50,1289.08,,🇭🇳
Slovakia,1,19329.1,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇸🇰
Uganda,1,776.77,510,160,0,12,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇺🇬
Kyrgyzstan,1,1309.39,510,160,0,12,0,66.43,91.53,88.86,177.64,124.11,50,1268.57,,🇰🇬
Austria,1,50277.28,510,0,0,60,0,47.45,91.53,0,177.64,124.11,50,1000.73,European Union country.,🇦🇹
United Arab Emirates,1,43103.32,510,0,1125,48,0,56.94,91.53,88.86,177.64,124.11,50,2224.08,,🇦🇪
Spain,1,29613.67,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇪🇸
Azerbaijan,1,4793.59,510,160,0,12,0,75.92,91.53,88.86,177.64,124.11,50,1278.06,,🇦🇿
Estonia,1,23659.87,510,0,0,60,0,56.94,91.53,0,177.64,124.11,50,1010.22,European Union country.,🇪🇪
Eswatini,1,3837.03,510,0,200,60,0,56.94,91.53,88.86,177.64,124.11,50,1299.08,,🇸🇿
Belarus,1,6663.3,510,160,0,12,0,56.94,91.53,88.86,177.64,124.11,50,1259.08,,🇧🇾
France,1,40493.93,510,160,0,20,0,56.94,91.53,0,177.64,124.11,50,1170.22,European Union country.,🇫🇷
Portugal,1,23145.04,510,160,0,28,0,56.94,91.53,0,177.64,124.11,50,1170.22,European Union country.,🇵🇹
Jamaica,1,5582.26,510,0,0,60,0,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇯🇲
Belgium,1,46116.7,510,0,295,60,0,56.94,91.53,0,177.64,124.11,50,1305.22,European Union country.,🇧🇪
Uzbekistan,1,1724.84,510,160,0,12,0,66.43,91.53,88.86,177.64,124.11,50,1268.57,,🇺🇿
