Nationality,GDP_PC,USA,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis,_merge
Gambia,751.29,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇲,both
Georgia,4769.19,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇪,both
Germany,46258.88,510,56.94,91.53,0,177.64,0,50,886.11,,🇩🇪,both
Ghana,2202.12,510,75.92,91.53,88.86,177.64,124.11,50,1118.06,,🇬🇭,both
Greece,19582.54,510,56.94,91.53,0,177.64,0,50,886.11,,🇬🇷,both
Grenada,10965.51,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇩,both
Guatemala,4619.99,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇹,both
Guinea,1064.13,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇳,both
Guinea-Bissau,697.78,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇼,both
Guyana,5468.36,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇬🇾,both
Haiti,754.59,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇭🇹,both
Honduras,2574.91,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇭🇳,both
Hong Kong,48755.84,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇭🇰,both
Hungary,16475.74,510,56.94,91.53,0,177.64,0,50,886.11,,🇭🇺,both
Iceland,66944.83,510,56.94,91.53,0,177.64,0,50,886.11,,🇮🇸,both
India,2104.15,510,56.94,0,88.86,177.64,124.11,50,1007.55,,🇮🇳,both
Indonesia,4135.57,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇮🇩,both
Iran,5520.31,510,75.92,91.53,88.86,177.64,124.11,50,1118.06,2017 GDP per Capita,🇮🇷,both
Iraq,5955.11,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇮🇶,both
Ireland,78660.96,510,56.94,91.53,0,177.64,0,50,886.11,,🇮🇪,both
Israel,43641.4,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇮🇱,both
Italy,33189.57,510,56.94,91.53,0,177.64,0,50,886.11,,🇮🇹,both
Jamaica,5582.26,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇯🇲,both
Japan,40246.88,510,56.94,21.38,88.86,177.64,124.11,50,1028.93,,🇯🇵,both
Jordan,4330.33,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇯🇴,both
Kazakhstan,9731.15,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇿,both
Kenya,1816.55,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇪,both
Kiribati,1655.08,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇮,both
Kosovo,4417.51,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇽🇰,both
Kuwait,32031.98,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇼,both
Kyrgyzstan,1309.39,510,66.43,91.53,88.86,177.64,124.11,50,1108.57,,🇰🇬,both
Laos,2534.9,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇦,both
Latvia,17836.36,510,56.94,91.53,0,177.64,0,50,886.11,,🇱🇻,both
Lebanon,7784.32,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇧,both
Lesotho,1157.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇸,both
Liberia,621.89,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇷,both
Libya,7683.75,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇾,both
Liechtenstein,173356.05,510,56.94,91.53,0,177.64,0,50,886.11,2017 GDP per Capita,🇱🇮,both
Lithuania,19455.45,510,56.94,91.53,0,177.64,0,50,886.11,,🇱🇹,both
Luxembourg,114704.59,510,56.94,91.53,0,177.64,0,50,886.11,,🇱🇺,both
